Annee_Mois,SalesAmount
1996-07,27861.89495651722
1996-08,25485.274986581506
1996-09,26381.399988487363
1996-10,37515.72491448447
1996-11,45600.04494312592
1996-12,45239.62996543199
1997-01,61258.06993048489
1997-02,38483.63494294286
1997-03,38547.21996988952
1997-04,53032.95242693588
1997-05,53781.28992798589
1997-06,36362.80244842321
1997-07,51020.85745272499
1997-08,47287.66994824592
1997-09,55629.24245656654
1997-10,66749.22595180024
1997-11,43533.80896724928
1997-12,71398.42844673291
1998-01,94222.11038288682
1998-02,99415.2874558689
1998-03,104854.15493767224
1998-04,123798.6824212195
1998-05,18333.630464911257
